Hold,Resourse,RT_benefit,Weight_s,Weight_h1,Weight_h2,Height,Min_s,Max_s,Max_h,Pair_Hold1,Pair_Hold2,Next_Hold1,Next_Hold2,Same_Hold1,Same_Hold2,Lamp_Hold,Region1,Region2,Region3
1,100,0,1,-1,1,200,-1514155,2135156,37949940,1,2,1,2,3,5,1,1,3,6
2,100,0,-1,-1,1,180,,,,1,3,3,4,6,8,3,2,4,7
3,100,0,1,0,1,220,,,,3,4,4,5,,,6,,5,8
4,100,0,0,0,1,220,,,,4,5,6,7,,,,,,
5,100,0,-1,0,1,220,,,,3,6,7,8,,,,,,
6,100,0,1,-1,1,200,,,,6,7,,,,,,,,
7,100,0,0,-1,1,200,,,,7,8,,,,,,,,
8,100,0,-1,-1,1,180,,,,,,,,,,,,,
